gene_id	gene_name	d15_Tcm_REP1	d15_Tcm_REP2	d15_Tcm_REP3	d15_Tem_REP1	d15_Tem_REP3	d15_Tpm_REP1	d15_Tpm_REP2	d15_Tpm_REP3	d8_Tcm_REP1	d8_Tcm_REP2	d8_Tcm_REP3	d8_Tem_REP1	d8_Tem_REP2	d8_Tem_REP3	d8_Tpm_REP1	d8_Tpm_REP2	d8_Tpm_REP3	Naive_REP1	Naive_REP2
ENSMUSG00000000131	Xpo6	2239	2205.999	2444.998	2196.001	1942.001	2021.002	2037.001	2036.999	3162	2769	2152	2186.998	2620.001	2656.001	3009.999	2461.001	2134.001	2177.999	2258
ENSMUSG00000000134	Tfe3	425.001	485	494	389.001	425.001	373	395	439	588.999	526.999	418.999	432	455.999	397.999	572	472	355.999	489.999	295.001
ENSMUSG00000000142	Axin2	1086	1096.999	1387	398	521.001	1073.001	1139.999	1166	538	509	444	88	127	165	428.999	338	373.001	659.001	612.001
ENSMUSG00000000148	Brat1	261	323	475.999	310	375	328.001	378.001	320	581.999	474.999	419	350	413	407.001	502	428.999	381	656.999	467.999
ENSMUSG00000000149	Gna12	364	502	458	287	212	389	430	309	556	354	336	195	229	217	421	252	249	399	239
ENSMUSG00000000154	Slc22a18	1	5	2	0	2	3	0	0	0	1	0	0	0	0	0	0	0	3	0
ENSMUSG00000000157	Itgb2l	12	15	21	15	34	12	19	26	0	0	1	0	0	0	2	0	0	2	0
ENSMUSG00000000159	Igsf5	0	1	2	2	5	0	0	3	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000000167	Pih1d2	12	7	3	5	8	0	6	4	6	8	7	1	1	5	6	4	2	5	3
ENSMUSG00000000168	Dlat	458	463	544.001	441.001	482	386	467	375	625	620	496	425	528	542.001	635	576	426.001	559.001	477.001
ENSMUSG00000000171	Sdhd	1480	1388	1275	1378	1352	1033	1173	1092	1794	1557	1654	1822	1839	1474	1704	1528	1654	1449	1525
ENSMUSG00000000182	Fgf23	7	7	3	1	5	5	8	20	3	2	0	0	0	1	6	1	0	0	1
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	3478	3308	3718	4516	4256	2966	3316	2837.999	3187.999	3043	2564	3015.999	3485.999	3277	3368	2833.999	2660	7195	7536
ENSMUSG00000000194	Gpr107	726.001	781	822	808	762	655	693.001	616	1186.001	1079.001	996.999	1078	1035.001	1100.001	1160.001	1016.999	877.999	706.999	616.998
ENSMUSG00000000197	Nalcn	7	2	5	7	5	8	0	3	7	5	8	2	9	11	9	3	9	5	2
ENSMUSG00000000202	Btbd17	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000000204	Slfn4	32.868	29.297	40.761	53.92	51.079	42.076	53.474	35.309	19.138	10.111	4.1	5.056	5.212	5.022	14.084	8.042	12.366	26.148	11.386
ENSMUSG00000000214	Th	0	1	0	2	0	0	0	0	5	1	2	0	0	0	0	3	0	1	1
ENSMUSG00000000215	Ins2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	4	4	0	3	1	10	10	6	14	3	2	7	11	10	9	8	6	7	0
ENSMUSG00000000244	Tspan32	287	289.999	311.999	359	293	186	224.999	246.001	479	340	318	1386.001	1372.001	1201.002	627	417	440.001	1793	1431
ENSMUSG00000000247	Lhx2	0	1	2	1	12	7	2	0	5	3	1	5	8	0	0	2	7	0	3
ENSMUSG00000000248	Clec2g	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.001	0
ENSMUSG00000000253	Gmpr	6	12	1	11	4	13	4	2	1	1	0	6	0	2	2	2	0	14	1
ENSMUSG00000000263	Glra1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	1	3	3	9	10	7	2	1	12	4	5	2	1	3	4	7	7	11	1
ENSMUSG00000000275	Trim25	1779	1567	1829	1502	1505	1543	1679	1484	3135	2687	2458	1944	2352	2589	2731	2417	2301	2659	2204
ENSMUSG00000000276	Dgke	725	648	785	654	615	601	677	666	676.999	688	635	521	561	587	637	594	544	666.001	801
ENSMUSG00000000278	Scpep1	694	674	631	493	446	539	611	481	1134	854	696	368	368	346	660	587	513	92	153
ENSMUSG00000000282	Mnt	517	516	757	735	572	711.001	725	606	902	624	608	551	519	601	892	704	521	1008	694
ENSMUSG00000000290	Itgb2	15390	15318	15452.999	24930	23164	13994	14782	13467	23458.001	19851.001	16294.001	34013.897	38176	36377.999	27666.999	22647.999	18792.001	6516.001	7089
ENSMUSG00000000295	Hddc2	401.001	325	377	241	236	269	262.001	307	415	329	408.001	375	329	272	326	309	279	455	488
ENSMUSG00000000296	Tpd52l1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000301	Pemt	7	10	8	4	4	6	3.999	10	11	4	11	4	3	1	4	2	3	45	70
ENSMUSG00000000303	Cdh1	31	41	25	0	4	18	17	16	8	19	12	0	0	0	0	3	4	13	10
ENSMUSG00000000305	Cdh4	4	3	3	0	1	8	0	6	1	1	2	2	4	0	1	0	1	1	0
ENSMUSG00000000308	Ckmt1	6	4	13	3	4	15	5	9	8	9	10	9	4	2	7	21	12	5	3
ENSMUSG00000000317	Bcl6b	3	1	3	2	1	0	0	0	2	0	1	0	5	0	6	1	1	9	1
ENSMUSG00000000318	Clec10a	1	6	0	1	9	3	11	5	0	0	0	0	0	0	0	1	0	3	0
ENSMUSG00000000320	Alox12	112	133	82	101	34	74	57	43	10	2	8	9	4	11	12	7	15	16	18
ENSMUSG00000000325	Arvcf	12	8	15	20	27	12	13	16	17	13	17	13	9	19	3	19	7	52	29
ENSMUSG00000000326	Comt	399	427	374	382	288.999	256	333	320	572	542	473	494	464	417	517	437	424	289	319
ENSMUSG00000000339	Rtca	503.001	493	479.999	462	491.999	418.001	504	498	780	603	634	618.999	589.001	536	595	711	595	477	405
ENSMUSG00000000340	Dbt	473	401	453	363	381	317	372	327	483	484	434	563.001	546	486	432	392	435	502	662
ENSMUSG00000000346	Dazap2	10224	10410	8477	10150	9288	6249	7832	6815	10274	9099	8390	12977	12057	11601	9850	8038	7055	5377	8579
ENSMUSG00000000355	Mcts1	641	567	632	582	559	438	523.999	562.999	590	575	653.999	714	680	576.999	560	591	627.001	571.001	617.001
ENSMUSG00000000359	Rem1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	6	0
ENSMUSG00000000365	Rnf17	6	3	5	2	7	9	5	4	5	6	2	18	7	6	1	3	9	6	10
ENSMUSG00000000374	Trappc10	1633	1492	1710	1542	1606	1298	1458	1370	2152	1738	1413	1491	1849	1753	2103	1524	1248	1190	1162
ENSMUSG00000000378	Ccm2	2506.999	2717.999	2925	2071.001	2363.001	1852.999	2461	2224	2339.001	2154.001	2288.999	1684	1918	1891.999	2035.999	2057	2062.001	3777.001	3692.001
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	815.001	941	1130	684	685	997.999	900.001	877	941.999	825	793.001	558	682	694	871	752	760.001	931	870.999
ENSMUSG00000000385	Tmprss2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000386	Mx1	932.738	886.841	1002.086	842.861	959.955	683.885	829.924	788.001	1501.657	1900.618	2056.943	976.904	1113.88	1463.845	1165.974	1248.783	1820.582	707.014	569.025
ENSMUSG00000000392	Fap	6	3	9	12	7	8	6	8	3	0	0	4	2	2	5	5	5	9	8
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	2224	2254	1894	2114	1908	1438	1753	1523	2190	2053	2396	2516	2288	2019	2108	1968	2261	1794	2025
ENSMUSG00000000402	Egfl6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000409	Lck	23525.999	23175.999	22935.001	25895.999	24695.999	19261	21377.999	19788	27808.001	24810	23278	29671.001	32428.999	31325.999	27802.002	23840.999	22706.999	14928	17041.999
ENSMUSG00000000411	Tssk3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	Cttnbp2	3	2	2	1	3	13	2	6	5	11	11	2	7	4	5	3	4	16	1
ENSMUSG00000000420	Galnt1	3481.001	3132.001	3086	3068	2934	2427.002	2813.001	2366	3321.999	3024	2720.999	3015	2968	2845	3152	2700.001	2717.001	2641	3011.999
ENSMUSG00000000435	Myf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	528	549	522	640	601	411	455	466	572	585	488	834	834	743	635	578	539	487	610
ENSMUSG00000000440	Pparg	25	40	23	25	25	25	26	29	0	0	1	0	3	2	0	1	0	11	5
ENSMUSG00000000441	Raf1	3337	3146	3285.999	2751	2783	2672.999	3021	2835.001	3364	2895	2765	2559	2824.001	2899.001	3101	2579.999	2436.999	2593	2682
ENSMUSG00000000486	Sept1	10222.999	10752.999	12818	12524.001	13019.999	9977.001	11053.002	10736.001	18321.002	15589.999	15131.001	14768	17357	15923	16893	16258.001	14148	8999	7657
ENSMUSG00000000489	Pdgfb	244	287	371	208	175	330	397	344	638	619	463	177	237	183	687	602	541	73	3
ENSMUSG00000000530	Acvrl1	18	29	19	17	29	15	43	16	2	0	0	2	0	1	0	0	4	166	150
ENSMUSG00000000531	Grasp	218	255	289	228	258	234	244	292	175	121	133	88	126	116	151	114	132	129	85
ENSMUSG00000000532	Acvr1b	79	106	112	47	28	52	63	81	127	91	68	39	47	49	75	53	42	816	825
ENSMUSG00000000538	Tom1l2	364	329	364	339.001	313	314	315	278.999	307.002	296	256.001	276.999	316.999	235	277	242	208.998	877.001	660.999
ENSMUSG00000000544	Gpa33	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	20	47	61	35	38	35	39	32	0	2	3	7	5	10	9	9	8	63	10
ENSMUSG00000000555	Itga5	9	14	11	10	15	10	26	17	9	10	12	11	23	14	13	13	7	140	103
ENSMUSG00000000560	Gabra2	4	9	12	12	12	37	5	12	20	13	20	8	17	4	6	12	4	41	1
ENSMUSG00000000561	Wdr77	562.869	568.598	767.653	557.543	509.583	530.561	618.802	575.451	648.046	578.419	564.908	520.746	532.796	456.178	611.816	547.762	523.126	1230.473	1021.806
ENSMUSG00000000562	Adora3	3	5	5	13	3	4	6	6	1	0	0	0	0	0	0	0	0	0	6
ENSMUSG00000000563	Atp5f1	3443.756	3249.348	3620.326	3298.023	3093.143	2738.742	3199.185	2917.783	5003.541	4181.282	4718.407	5399.87	5156.728	4036.867	4671.715	4514.941	4737.453	3976.74	3837.066
ENSMUSG00000000567	Sox9	5	0	2	0	2	2	0	2	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000000568	Hnrnpd	2655	2165.999	3088	2325	2378.999	2435.001	2399	2422.001	3755	2781	2670	2059.999	2602.002	2382.001	3437.002	2978.001	2420	3303.001	2150.999
ENSMUSG00000000579	Dynlt1c	237.846	237.571	252.698	208.421	229.406	182.096	243.47	201.837	294.817	272.043	290.255	331.823	211.425	268.893	287.68	236.263	241.743	605.494	629.488
ENSMUSG00000000581	C1d	562	421	545	534	509	368	539	393	783.001	666.001	715	933	810.001	646	826	688	749.001	705	715
ENSMUSG00000000594	Gm2a	2908	2985	2700	2752	2383	1951	2297	1966	3553	3249	3022	3827	3777	3374	3243	3011	2856	2415	3007
ENSMUSG00000000600	Krit1	2095	2021.999	2148	2238	2009	1764	2074	1951.999	2085	2169	1961.999	2346.999	2352	2442.999	2135.001	1930.999	2120	2058.999	2353
ENSMUSG00000000605	Clcn4-2	1787	1668	1866	2002	1801	1578	1683	1434	2264	1951	1797	2315	2382	2475	2272	1956	2075	1828	1701
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	30
ENSMUSG00000000627	Sema4f	720	692	911	1105	1040	859	883	806	643	532	473	858	999	1006	748	654	508	647	604
ENSMUSG00000000628	Hk2	844	673	967	691	677	939	783	788	702	718	574	437	566	544	779	663	539	32	26
ENSMUSG00000000631	Myo18a	1397.999	1670	2219.999	1966.999	2146.999	1550	1749.001	1608.999	2412	1877.001	1504	1809.001	2280.001	2187.999	2724.002	1957.999	1670	1240.001	657
ENSMUSG00000000632	Sez6	2	2	6	2	1	10	11	7	15	5	5	3	3	2	6	10	17	4	7
ENSMUSG00000000673	Haao	345	322	457	438	426	366	362	339	536	549	459	682	823	678	565	514	525	658	627
ENSMUSG00000000682	Cd52	14451	12392	11385	15296	14157	8059	10611	9985	18053	16419	19184	25284	25225	20923	17462	17324	14650	7923	11115
ENSMUSG00000000686	Abhd15	78	61	105	40	21	73	76	70	116	83	64	11	22	21	55	70	51	301	238
ENSMUSG00000000690	Hoxb6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	Loxl3	8	5	11	8	4	12	6	19	1	3	2	1	4	0	2	4	1	11	0
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1
ENSMUSG00000000708	Kat2b	1093.001	1006	1191	975	888.984	874	994.992	959.793	909.98	908.917	894.985	737.919	838.978	769.85	890.961	827.985	889	1099.999	1141
ENSMUSG00000000711	Rab5b	1338.643	1227.584	1277	1704.072	1431.544	915	1127.348	928.047	1777.369	1592.993	1422.79	1935.664	1932.641	1904.548	1773	1404	1282.479	1384.821	1347.701
ENSMUSG00000000724	Cryba1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000731	Aire	1	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	1
ENSMUSG00000000732	Icosl	258	246	295	221	193	151	182	182	189	156	153	317	342	309	158	137	124	205	188
ENSMUSG00000000738	Spg7	1449	1507	1840	1488.001	1456.001	1470	1509.001	1611	1592.001	1406	1323.998	1098	1264	1206	1488.001	1235	1238	1290.001	1121.998
ENSMUSG00000000739	Sult5a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000740	Rpl13	20982.16	18814.701	26580.204	14865.271	14426.152	24742.116	20370.37	18823.29	13927.94	12058.554	16295.077	14931.858	14723.098	11780.55	12959.71	16604.708	16117.27	43833.958	37522.903
ENSMUSG00000000743	Chmp1a	2266	2524.74	2423.679	2382.914	2330	1914	2135	1915	3870.703	3067.001	2926.873	3239	3406.768	2946.999	3672.925	3074.943	2892.001	2264.206	1966.999
ENSMUSG00000000751	Rpa1	3276	3144.001	3144.999	3643	3464.999	2411	2905	2704.999	5177	4554	4244.999	4444	4805	4816	4928.999	4297	3969.001	3580	3750
ENSMUSG00000000753	Serpinf1	5	9	13	1	7	7	2	15	2	3	3	2	1	1	2	3	2	4	0
ENSMUSG00000000759	Tubgcp3	1471	1468	1693	1434.999	1451	1292.001	1559	1502	1510	1505	1278.001	1140	1360	1417	1478	1258.999	1244	1774.999	1795.999
ENSMUSG00000000766	Oprm1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	341	312	377	238	249	301	384	318	229	231	221	134	159	173	217	209	190	415	308
ENSMUSG00000000782	Tcf7	9721	9375	10791	2701	2784	6295	7600	6513	6423	4450	4706	553	654	828	2838	2165	1972	17569	13594
ENSMUSG00000000787	Ddx3x	16026	15237	16543	15502	13552	12402.001	13941	12659	7479.999	7566.999	6888	7345	7825	7862.999	7021.001	6635	7478	8197	12444
ENSMUSG00000000791	Il12rb1	500	601	832	478	464	630	602	639	1584	1438	1194	715	863	697	1310	1357	1134	193	194
ENSMUSG00000000792	Slc5a5	4	1	4	5	4	2	3	6	4	4	13	7	3	9	10	3	5	0	0
ENSMUSG00000000794	Kcnn3	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	5	1	2	1
ENSMUSG00000000804	Usp32	1412	1224	1374	854	888.999	935.999	1166.999	1085	1123	1095.001	889	745	902	923	1013	899.999	901	1138.001	1375.999
ENSMUSG00000000805	Car4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000811	Txnrd3	16	12	10	10	6	10	11	7	4	3	2	4	1	1	4	5	0	36	40
ENSMUSG00000000817	Fasl	1595	1359	1142	2837	1753	1475	1470	1111	1005	904	1038	1342	1362	1294	1113	1022	884	36	14
ENSMUSG00000000823	Znf512b	807.001	734	882.999	704	685	683	796.001	696	1090	870.001	731.999	685.999	711	629	965	722	680.001	1785.002	1581
ENSMUSG00000000826	Dnajc5	4279	3827	3959	4015.001	3977.001	3625	3695	3547.001	4806	4282.999	3817	4247	4644.001	4702	4851	4082	3622	3942	4301
ENSMUSG00000000827	Tpd52l2	858.999	919	923.001	946	871	624	811.999	836	782.999	713	785.001	914.999	990.999	785.999	810	747	797	981.001	843.999
ENSMUSG00000000838	Fmr1	1411.451	1188.878	1469.096	1420.503	1236.845	1277.926	1309.95	1187.464	1579.379	1398.943	1277.143	1488.37	1415.309	1525.212	1560.271	1292.119	1376.155	1301.575	1340.182
ENSMUSG00000000861	Bcl11a	20	26.999	18	27	22	22	11	22	4	0	2	1	4	8	0	10	12	73	13
ENSMUSG00000000869	Il4	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	216	219	232	242	222	172	206	195	552	371	407	587	496	485	515	428	334	350	358
ENSMUSG00000000881	Dlg3	81	88	79	93	91	66	65	71	95.001	70	80	83	119	118	88	103	96	244	264
ENSMUSG00000000884	Gnb1l	171.547	210.028	215.999	172.674	171.001	190.771	151.001	130	148	109.227	95.425	107.999	85.332	95.733	132	106	103.73	215.366	164
ENSMUSG00000000889	Dbh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901	Mmp11	4	6	2	7	5	6	0	5	8	0	6	6	2	9	1	1	1	37	28
ENSMUSG00000000902	Smarcb1	936.999	799	989	629.001	587	738.001	842.001	798.999	1001	852	768	548.001	651	625.001	963	825.999	676	1018.999	749.999
ENSMUSG00000000903	Vpreb3	1	1	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	25	11
ENSMUSG00000000915	Hip1r	3483.001	3805.977	5656.001	3028.999	3195.959	4573.001	5269.892	4892	6095.979	5465	4765	2323	2872.994	2517.001	5402.977	5166	5009	1867	913
ENSMUSG00000000916	Nsun5	395.999	469.001	474	377.999	394	355	412.001	427.999	279.001	211	241.001	158	202.001	228	230.001	196	187	430	477
ENSMUSG00000000934	Top1mt	113	121	134	120	115	115	137	113	77	52	43	90	87	88	57	17	36	166	234
ENSMUSG00000000938	Hoxa10	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000948	Gm38393	13.105	17	17.188	18	12	4	6	16	1	7	1	6	0	4.068	1	3	4	7	2.029
ENSMUSG00000000957	Mmp14	9	19	18	25	25	15	11	7	8	7	3	22	12	16	9	8	5	31	4
ENSMUSG00000000958	Slc7a7	33	45	24	32	28	18	33.001	18	7	3	0	10	16	4	3	5	4	21	20
ENSMUSG00000000959	Oxa1l	1064	1034	1113	995	890	942	960	963	1562	1275.001	1139	1658	1541	1374.999	1517	1297	1157	1094.001	1413.999
ENSMUSG00000000976	Heatr6	690.001	716	885	707	748.999	706	799	820	985.999	849	634	691	864.999	851.999	934	780	745.001	587	762
ENSMUSG00000000982	Ccl3	1524	1912	1758	3647	3808	1338	2059	1807	1154	1221	1535	2480	3218	3301	1734	1783	1841	67	19
ENSMUSG00000000983	Wfdc18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014	Icam4	4	10	9	2	5	2	8	3	1	1	6	0	6	1	4	3	7	10	6
ENSMUSG00000001016	Ilf2	1822	1593	1820	1767.001	1629.001	1329	1642	1701	1145	1189	1209	1200	1167.999	1156	1150	1054	1074.999	1782.001	1623.001
ENSMUSG00000001017	Chtop	3732	4120.989	4572.922	4105.989	4041	3594	3867.999	3483.99	4652.99	4030.999	4199.002	4226.001	4724.984	4506.999	4589.001	4664	4546	5004.001	4150.98
ENSMUSG00000001018	Snapin	714	693	571.999	741.001	611	510.999	620	532.999	862	652.001	647.001	1090.999	923.001	748	806.999	694	655	797	933
ENSMUSG00000001020	S100a4	10920	7936	8042	9956	9440	7416	9814.621	9149	20047	17477	19057	19343	19505	14886	19498	18886	17418.661	113	32
ENSMUSG00000001021	S100a3	18	9	8	9	7	13	11	7	15	5	12	7	4	3	9	18	3	2	4
ENSMUSG00000001023	S100a5	1	0	0	2	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000001025	S100a6	9947.001	8383	9310	7179	6808.999	8031	9317.001	8870	14802.999	12098.001	15412.001	9169	9276	7341	11940	13217	13943	203	50
ENSMUSG00000001027	Scn4a	0	1	1	2	5	0	0	2	0	0	0	3	0	0	2	0	0	16	0
ENSMUSG00000001029	Icam2	1021.001	1168.001	1196.001	1212	1098	884	1157.001	917	864	710.999	860	960	979	931	887	726.001	879.999	1228	1228
ENSMUSG00000001034	Mapk7	249	302.999	434	408.001	428	354.999	324	345	518.001	439.999	381	340	493	353.001	443.001	422	321	552	344
ENSMUSG00000001036	Epn2	25	20	12	44	48	35	19	25	15	13	21	15	27	19	17	15	17	26	8
ENSMUSG00000001039	B9d1	2	5	5	3	1	1	0	4	9	5	4	2	4	1	2	4	11	4	1
ENSMUSG00000001052	Sec24b	1630.999	1565	1984	1579.999	1581	1393.001	1677.001	1514.001	1746	1470	1302	1223	1591.001	1586.001	1741.001	1360	1239	1493	1265.999
ENSMUSG00000001053	N4bp3	193	282	452	569	642	369	460	382	296	241	281	304	319	283	356	335	260	246	89
ENSMUSG00000001054	Rmnd5b	1185	1320	1376	1030.999	993.999	1142	1335.999	1307	1731	1481	1326.999	828	959.001	807	1400	1291	1137	1059.999	1224
ENSMUSG00000001056	Nhp2	1003	900	1123	938	1040	822	1071	937	1140	1019	1117	1299	1171	914	1084	1126	1162	1161	1280
ENSMUSG00000001062	Vps9d1	305.999	245.999	407.002	417.001	362.999	294	351.001	357	456	350.001	319	354.001	403.001	350	418.001	313	300	446	266
ENSMUSG00000001065	Zfp276	600	750	879.999	836.999	869.001	869	842	788	704	647	578.999	538.001	644	647	717.999	679.001	696.999	971	520.999
ENSMUSG00000001076	C1ql4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082	Mfsd10	327.999	382.001	524.001	255	319.999	386.001	445	402.001	664.999	551.001	503.001	386.001	360.001	335.999	624	574.001	378	287	264
ENSMUSG00000001089	Luzp1	95	104	77	177	135	59	88	65	135	122	69	194	180	155	141	95	99	151	140
ENSMUSG00000001095	Slc13a2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000001098	Kctd10	1419.001	1436	1723.001	1956	1918.999	1380	1546.999	1294	2600	2151	1889	2149.001	2574	2584	2584.001	2237.999	2052	2342.001	2184.001
ENSMUSG00000001100	Poldip2	352	337	397.001	340	298	318.001	309	324	521	352	381.999	383	414	384	392	357	331	532	475.999
ENSMUSG00000001103	Sebox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001105	Ift20	783.999	756.999	875	1187	1028.999	711	861.001	801	904.999	762	950	1135.999	1144	872.999	856	904	1028	791.001	704.001
ENSMUSG00000001119	Col6a1	7	2	5	3	7	4	3	2	12	1	1	0	3	2	4	7	3	14	5
ENSMUSG00000001120	Pcbp3	12	11	25	11	7	6	19	23	15	15	11	13	12	18	7	15	11	68	63.999
ENSMUSG00000001123	Lgals9	3080	2700.001	2623	2767.001	2675	1881.999	2265.999	2089	4026	3388.001	3816	4043	4206	4120	3662	3398	3023	2121	3353
ENSMUSG00000001127	Araf	2341.999	2163	2492	2170	2059	2128	2355	2331.002	2293.999	2052	1864.001	1803.001	1931.999	1874.999	2020.001	1638.001	1767	2442.001	2228
ENSMUSG00000001128	Cfp	363	405	380	360	294	368	438	354	53	44	49	39	53	46	46	56	67	240	116
ENSMUSG00000001131	Timp1	8	1	4	0	2	0	3	1	2	0	0	0	0	0	1	0	0	4	5
